Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Heirloom Cacao Preservation (Zokoko),70.0,70.0,72.0,68.0
La Rifa,70.0,70.0,70.0,70.0
Lajedo do Ouro,70.0,70.0,70.0,70.0
Danta,70.0,70.0,70.0,70.0
Dandelion (aka Brower Ave),70.0,70.0,70.0,70.0
Meadowlands,70.0,70.0,70.0,70.0
Izard,70.0,70.0,70.0,70.0
Monsieur Truffe,70.0,70.0,70.0,70.0
Or Dubh,70.0,70.0,70.0,70.0
Obolo,70.0,70.0,70.0,70.0
Nugali,70.0,70.0,70.0,70.0
Nuance,70.0,70.0,70.0,70.0
Choco Dong,70.0,70.0,70.0,70.0
Noir d' Ebine,70.0,70.0,70.0,70.0
Nina,70.0,70.0,70.0,70.0
Fresh Coast aka Just Good Choc.,70.0,70.0,70.0,70.0
Fresh Coast,70.0,70.0,70.0,70.0
Nearynogs,70.0,70.0,70.0,70.0
Meybol,70.0,70.0,70.0,70.0
Fu Wan,70.0,70.0,70.0,70.0
Gotham,70.0,70.0,70.0,70.0
Musee du Chocolat Theobroma,70.0,70.0,70.0,70.0
Momotombo,70.0,70.0,70.0,70.0
Ohiyo,70.0,70.0,70.0,70.0
Molucca,70.0,70.0,70.0,70.0
Moku,70.0,70.0,70.0,70.0
Green Door,70.0,70.0,70.0,70.0
Misina,70.0,70.0,70.0,70.0
Parliament,70.0,70.0,70.0,70.0
Minimal,70.0,70.0,70.0,70.0
Milton,70.0,70.0,70.0,70.0
Escazu,70.0,70.0,70.0,70.0
Cacaodada,70.0,70.0,70.0,70.0
Haigh,70.0,70.0,70.0,70.0
Encuentro,70.0,70.0,70.0,70.0
Mike & Becky,70.0,70.0,70.0,70.0
Chloe Chocolat,70.0,70.0,70.0,70.0
Patric,69.83333333333333,70.0,75.0,67.0
Omnom,69.75,70.0,73.0,66.0
Lillie Belle,69.66666666666667,68.0,75.0,65.0
Tejas,69.57142857142857,70.0,70.0,67.0
Mirzam,69.2,72.0,72.0,65.0
"Smooth Chocolator, The",69.11764705882354,70.0,72.0,65.0
Friis Holm,69.07692307692308,70.0,70.0,60.0
Chocola'te,69.0,69.0,70.0,68.0
Fresco,69.0,69.0,69.0,69.0
Hazel Hill,69.0,70.0,72.0,65.0
Jordis,69.0,69.0,75.0,63.0
Cacao Prieto,68.75,69.0,72.0,65.0
Paul Young,68.5,68.5,73.0,64.0
Naive,68.5,68.5,70.0,67.0
Vanleer (Barry Callebaut),68.5,68.5,72.0,65.0
Vao Vao (Chocolaterie Robert),68.5,69.0,72.0,64.0
Ambrosia,68.4,68.0,75.0,63.0
Zak's,68.33333333333333,70.0,70.0,60.0
Casa Lasevicius,68.0,68.0,71.0,65.0
Christopher Morel (Felchlin),68.0,68.0,68.0,68.0
Glennmade,68.0,68.0,70.0,66.0
La Cascade du Chocolat,68.0,68.0,68.0,68.0
Edelmond,68.0,68.0,68.0,68.0
Snake & Butterfly,67.66666666666667,68.0,68.0,67.0
Taylor Made,67.0,67.0,67.0,67.0
Heirloom Cacao Preservation (Guittard),67.0,67.0,67.0,67.0
Batch,66.66666666666667,65.0,70.0,65.0
Soeka,66.0,66.0,66.0,66.0
Rococo (Grenada Chocolate Co.),66.0,66.0,66.0,66.0
hello cocoa (now Markham & Fitz),65.5,65.5,74.0,57.0
Mita,65.0,65.0,65.0,65.0
Mars,65.0,65.0,65.0,65.0
Chocosol,65.0,65.0,65.0,65.0
Suruca Chocolate,65.0,65.0,70.0,60.0
